#{"t_start": 1764660792.2446072, "env_id": "None"}
r,l,t
-233.0,256,301.597474
-234.0,256,301.700286
-172.63025,222,302.107827
0.9702609,16,302.186184
-177.0,256,303.086341
-1.9862334,8,303.312395
-235.0,256,303.500874
-209.7835,245,303.703657
-217.0,256,303.841296
-0.97827977,12,304.187929
-235.0,256,304.397752
-214.0,256,304.555651
-207.0,256,304.829744
-220.0,256,304.829811
0.9901862,6,305.039156
-214.0,256,305.094078
-203.0,256,305.145323
-211.0,256,305.221796
-180.53229,201,305.282075
-201.0,256,305.368388
-226.0,256,305.442988
-0.99804497,2,305.519602
-210.0,256,305.57273
-234.0,256,305.709213
-0.9722718,15,305.837188
-220.0,256,305.915326
-218.0,256,305.982533
-219.0,256,306.019983
-0.98623335,8,306.24081
-219.0,256,306.531969
-68.166145,79,306.990516
-233.0,256,307.141425
-238.0,256,307.226357
-208.0,256,307.907223
-216.0,256,308.337454
-208.0,256,308.385373
-226.0,256,308.461384
0.9901862,6,308.60365
-211.0,256,308.673702
-69.219376,101,308.76622
-218.0,256,308.822746
-228.0,256,308.928894
0.98425096,9,308.983811
-219.0,256,309.7347
-233.0,256,310.238586
-184.0,256,310.311647
-53.129475,63,310.514724
-169.54126,182,310.791144
-101.28193,125,311.119283
-124.488144,196,311.418582
-207.0,256,311.516704
-168.0,256,311.696669
-168.51917,188,311.828303
-206.0,256,311.908224
-0.9722718,15,311.908274
-36.077198,39,312.022444
-221.0,256,312.43563
-2.045979,24,312.701885
-212.0,256,312.844566
-217.0,256,313.325404
-231.0,256,313.407216
-212.0,256,313.486906
-198.0,256,313.602648
-215.0,256,313.740713
0.97827977,12,313.79637
-222.0,256,313.938751
-208.0,256,314.086204
-198.0,256,314.229127
0.9762812,13,314.285356
-201.0,256,314.535458
-219.0,256,314.833929
-178.48412,197,315.177239
-206.0,256,315.272302
-188.0,256,315.464067
-86.27382,122,315.968351
-211.0,256,316.208062
-0.9722718,15,316.444369
-202.0,256,316.648076
-215.0,256,316.933703
-159.0,256,317.00167
-198.0,256,317.125936
-184.59016,214,317.182031
-235.0,256,317.182095
-74.79304,96,317.781234
-214.0,256,317.921474
-117.6875,136,318.070952
-223.0,256,318.508467
0.9702609,16,318.550518
-201.0,256,318.716313
-148.45514,181,319.158772
-215.0,256,319.293277
-0.99215674,5,319.346595
-221.0,256,319.714061
-191.0,256,319.913675
-230.0,256,320.068155
-234.0,256,320.150502
-160.48814,196,320.150564
-93.71807,125,320.207179
-213.0,256,320.679052
-196.0,256,320.923437
-195.0,256,321.052674
-179.64645,225,321.199829
-135.63737,153,321.477293
-203.0,256,321.632469
-202.0,256,321.743576
-206.0,256,322.249104
-221.0,256,322.295888
0.99412334,4,322.393984
-200.0,256,322.562843
-116.37188,156,322.759915
-21.100782,50,322.759983
0.9702609,16,322.937978
-189.0,256,323.280267
-216.0,256,323.379478
-169.46771,201,323.555609
-192.0,256,323.602844
-0.9822646,10,323.732433
-75.77812,102,324.133147
-227.0,256,324.542479
-215.0,256,324.994385
-216.0,256,325.072198
-188.0,256,325.211563
-161.0,256,325.260989
-197.0,256,325.997199
-229.0,256,326.541079
-197.0,256,326.57487
-211.0,256,326.736229
-157.40019,216,326.883021
-215.0,256,327.343368
-211.0,256,327.39247
-232.0,256,327.742584
-193.0,256,327.907514
-212.0,256,328.044671
-0.95606613,23,328.044725
-215.0,256,328.132029
-218.0,256,328.178805
0.98821175,7,328.324674
0.96420306,19,328.413648
-199.0,256,328.696069
-208.0,256,329.052111
-0.97427857,14,329.120904
-149.53764,183,329.400724
-221.0,256,329.531555
-213.0,256,329.683748
-206.0,256,329.782504
-193.0,256,330.323523
-195.0,256,330.56142
-0.99804497,2,330.629614
